"","title","artist","top.genre","year"
"117","Mercy","Shawn Mendes","canadian pop",2017
"118","Stay","Zedd","complextro",2017
"119","It Ain't Me (with Selena Gomez)","Kygo","edm",2017
"120","Malibu","Miley Cyrus","dance pop",2017
"121","Something Just Like This","The Chainsmokers","electropop",2017
"122","I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN","dance pop",2017
"123","There for You","Martin Garrix","big room",2017
"124","Paris","The Chainsmokers","electropop",2017
"125","Cold (feat. Future)","Maroon 5","pop",2017
"126","First Time","Kygo","edm",2017
"127","The Cure","Lady Gaga","dance pop",2017
"128","Strip That Down (feat. Quavo)","Liam Payne","dance pop",2017
"129","Bon appétit","Katy Perry","dance pop",2017
"130","Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lana Del Rey","art pop",2017
"131","Slow Hands","Niall Horan","dance pop",2017
"132","Reality (feat. Janieck Devy) - Radio Edit","Lost Frequencies","belgian edm",2017
"133","Angel","Fifth Harmony","dance pop",2017
"134","Influence","Tove Lo","dance pop",2017
"135","Water Under the Bridge","Adele","british soul",2017
"136","Havana (feat. Young Thug)","Camila Cabello","dance pop",2018
"137","New Rules","Dua Lipa","dance pop",2018
"138","no tears left to cry","Ariana Grande","dance pop",2018
"139","IDGAF","Dua Lipa","dance pop",2018
"140","In My Blood","Shawn Mendes","canadian pop",2018
"141","Wolves","Selena Gomez","dance pop",2018
"142","Electricity (with Dua Lipa)","Silk City","edm",2018
"143","What Lovers Do (feat. SZA)","Maroon 5","pop",2018
"144","Him & I (with Halsey)","G-Eazy","hip hop",2018
"145","Friends (with BloodPop®)","Justin Bieber","canadian pop",2018
"146","My My My!","Troye Sivan","dance pop",2018
"147","Sick Boy","The Chainsmokers","electropop",2018
"148","Tequila","Dan + Shay","contemporary country",2018
"149","Look What You Made Me Do","Taylor Swift","pop",2018
"150","Bad Liar","Selena Gomez","dance pop",2018
"151","Sign of the Times","Harry Styles","dance pop",2018
"152","Supernova","Ansel Elgort","dance pop",2018
"153","Nervous","Shawn Mendes","canadian pop",2018
"154","End Game","Taylor Swift","pop",2018
"155","Mi Gente (feat. Beyoncé)","J Balvin","latin",2018
"156","Lemon","N.E.R.D","hip hop",2018
"157","For You (With Rita Ora)","Liam Payne","dance pop",2018
"158","Wait","Maroon 5","pop",2018
"159","What About Us","P!nk","dance pop",2018
"160","2U (feat. Justin Bieber)","David Guetta","dance pop",2018
"161","Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat","downtempo",2018
"162","Ferrari","Bebe Rexha","dance pop",2018
"163","Supplies","Justin Timberlake","dance pop",2018
"164","Boom Boom","RedOne","moroccan pop",2018
"165","Señorita","Shawn Mendes","canadian pop",2019
"166","South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran","pop",2019
"167","Higher Love","Kygo","edm",2019
"168","Only Human","Jonas Brothers","boy band",2019
"169","Beautiful People (feat. Khalid)","Ed Sheeran","pop",2019
"170","Talk (feat. Disclosure)","Khalid","alternative r&b",2019
"171","Takeaway","The Chainsmokers","electropop",2019
"172","No Guidance (feat. Drake)","Chris Brown","dance pop",2019
"173","Find U Again (feat. Camila Cabello)","Mark Ronson","dance pop",2019
"174","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","dance pop",2019
"175","Kills You Slowly","The Chainsmokers","electropop",2019
