"","title","artist","top.genre","year"
"115","Stay The Night - Featuring Hayley Williams Of Paramore","Zedd","complextro",2014
"116","Wings","Birdy","neo mellow",2014
"117","Can't Remember to Forget You (feat. Rihanna)","Shakira","colombian pop",2014
"118","Come Get It Bae","Pharrell Williams","dance pop",2014
"119","We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song]","Pitbull","dance pop",2014
"120","Anaconda","Nicki Minaj","dance pop",2014
"121","Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter","Charli XCX","candy pop",2014
"122","Cannonball","Lea Michele","hollywood",2014
"123","Uptown Funk","Mark Ronson","dance pop",2015
"124","Take Me To Church","Hozier","irish singer-songwriter",2015
"125","Sugar","Maroon 5","pop",2015
"126","Sorry","Justin Bieber","canadian pop",2015
"127","What Do You Mean?","Justin Bieber","canadian pop",2015
"128","Stitches","Shawn Mendes","canadian pop",2015
"129","My House","Flo Rida","dance pop",2015
"130","Love Me Harder","Ariana Grande","dance pop",2015
"131","Worth It","Fifth Harmony","dance pop",2015
"132","Elastic Heart","Sia","australian dance",2015
"133","Dear Future Husband","Meghan Trainor","dance pop",2015
"134","The Heart Wants What It Wants","Selena Gomez","dance pop",2015
"135","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta","dance pop",2015
"136","Company","Justin Bieber","canadian pop",2015
"137","Sing","Ed Sheeran","pop",2015
"138","Jealous - Remix","Nick Jonas","dance pop",2015
"139","Really Don't Care","Demi Lovato","dance pop",2015
"140","Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis","dance pop",2015
"141","Heartbeat Song","Kelly Clarkson","dance pop",2015
"142","Up","Olly Murs","dance pop",2015
"143","I Want You To Know","Zedd","complextro",2015
"144","Lips Are Movin","Meghan Trainor","dance pop",2015
"145","Here","Alessia Cara","canadian contemporary r&b",2015
"146","Fireball (feat. John Ryan)","Pitbull","dance pop",2015
"147","Easy Love","Sigala","dance pop",2015
"148","The Feeling","Justin Bieber","canadian pop",2015
"149","I Really Like You","Carly Rae Jepsen","canadian pop",2015
"150","BO$$","Fifth Harmony","dance pop",2015
"151","All About That Bass","Meghan Trainor","dance pop",2015
"152","On My Mind","Ellie Goulding","dance pop",2015
"153","Alive","Sia","australian dance",2015
"154","Sugar (feat. Francesco Yates)","Robin Schulz","dance pop",2015
"155","Perfect","One Direction","boy band",2015
"156","Bang My Head (feat. Sia & Fetty Wap)","David Guetta","dance pop",2015
"157","Don't Be so Hard on Yourself","Jess Glynne","dance pop",2015
"158","Steal My Girl","One Direction","boy band",2015
"159","Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")","Pitbull","dance pop",2015
"160","Sparks","Hilary Duff","dance pop",2015
"161","Mr. Put It Down","Ricky Martin","dance pop",2015
"162","Legendary Lovers","Katy Perry","dance pop",2015
"163","Spark The Fire","Gwen Stefani","dance pop",2015
"164","Let Me Be Your Lover","Enrique Iglesias","dance pop",2015
"165","Dangerous","Jennifer Hudson","dance pop",2015
"166","Cake By The Ocean","DNCE","dance pop",2016
"167","This Is What You Came For","Calvin Harris","dance pop",2016
"168","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","dance pop",2016
"169","Shout Out to My Ex","Little Mix","dance pop",2016
"170","Cold Water (feat. Justin Bieber & MØ)","Major Lazer","dance pop",2016
"171","Light It Up (feat. Nyla & Fuse ODG) [Remix]","Major Lazer","dance pop",2016
"172","Ain't Your Mama","Jennifer Lopez","dance pop",2016
"173","Kill Em With Kindness","Selena Gomez","dance pop",2016
"174","Body Say","Demi Lovato","dance pop",2016
"175","Cheap Thrills","Sia","australian dance",2016
"176","I Got You","Bebe Rexha","dance pop",2016
"177","Run Away With Me","Carly Rae Jepsen","canadian pop",2016
"178","Cruel (feat. ZAYN)","Snakehips","dance pop",2016
"179","WTF (Where They From)","Missy Elliott","dance pop",2016
"180","I Know What You Did Last Summer","Shawn Mendes","canadian pop",2016
"181","Keeping Your Head Up","Birdy","neo mellow",2016
"182","True Colors","Zedd","complextro",2016
"183","Make Me Like You","Gwen Stefani","dance pop",2016
"184","Champagne Problems","Nick Jonas","dance pop",2016
"185","Blown","DNCE","dance pop",2016
"186","Pep Rally","Missy Elliott","dance pop",2016
"187","Invitation","Britney Spears","dance pop",2016
"188","BURNITUP!","Janet Jackson","dance pop",2016
"189","Shape of You","Ed Sheeran","pop",2017
"190","That's What I Like","Bruno Mars","pop",2017
"191","Let Me Love You","DJ Snake","electronic trap",2017
"192","I Feel It Coming","The Weeknd","canadian contemporary r&b",2017
"193","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","dance pop",2017
"194","My Way","Calvin Harris","dance pop",2017
"195","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","dance pop",2017
"196","Mama","Jonas Blue","dance pop",2017
"197","Slide (feat. Frank Ocean & Migos)","Calvin Harris","dance pop",2017
"198","Swish Swish","Katy Perry","dance pop",2017
"199","Reggaetón Lento (Remix)","CNCO","boy band",2017
"200","Bodak Yellow","Cardi B","pop",2017
"201","Tired","Alan Walker","electro house",2017
"202","Came Here for Love","Sigala","dance pop",2017
"203","24K Magic","Bruno Mars","pop",2017
"204","OK - Spotify Version","Robin Schulz","dance pop",2017
"205","Get Low (with Liam Payne)","Zedd","complextro",2017
"206","Kissing Strangers","DNCE","dance pop",2017
"207","Younger Now","Miley Cyrus","dance pop",2017
"208","Body Moves","DNCE","dance pop",2017
"209","Touch (feat. Kid Ink)","Little Mix","dance pop",2017
"210","No Vacancy (with Sebastián Yatra)","OneRepublic","dance pop",2017
"211","Rich Boy","Galantis","big room",2017
"212","Remember I Told You","Nick Jonas","dance pop",2017
"213","Kissing Strangers - Remix","DNCE","dance pop",2017
"214","A L I E N S","Coldplay","permanent wave",2017
"215","One Kiss (with Dua Lipa)","Calvin Harris","dance pop",2018
"216","There's Nothing Holdin' Me Back","Shawn Mendes","canadian pop",2018
"217","Attention","Charlie Puth","dance pop",2018
"218","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld","dance pop",2018
"219","Silence","Marshmello","brostep",2018
"220","Sorry Not Sorry","Demi Lovato","dance pop",2018
"221","These Days","Rudimental","dance pop",2018
"222","Finesse - Remix; feat. Cardi B","Bruno Mars","pop",2018
"223","Bad At Love","Halsey","dance pop",2018
"224","Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled","dance pop",2018
"225","Capital Letters","Hailee Steinfeld","dance pop",2018
"226","Anywhere","Rita Ora","dance pop",2018
"227","Want To","Dua Lipa","dance pop",2018
"228","What I Need (feat. Kehlani)","Hayley Kiyoko","dance pop",2018
"229","Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora","dance pop",2018
"230","MOVE TO MIAMI","Enrique Iglesias","dance pop",2018
"231","Filthy","Justin Timberlake","dance pop",2018
"232","Never Be the Same - Radio Edit","Camila Cabello","dance pop",2018
"233","Drip (feat. Migos)","Cardi B","pop",2018
"234","Tell Me You Love Me - NOTD Remix","Demi Lovato","dance pop",2018
"235","How Do You Sleep?","Sam Smith","pop",2019
"236","Happier","Marshmello","brostep",2019
"237","Truth Hurts","Lizzo","escape room",2019
"238","Sucker","Jonas Brothers","boy band",2019
"239","Don't Call Me Up","Mabel","dance pop",2019
"240","I Don't Care (with Justin Bieber)","Ed Sheeran","pop",2019
"241","Giant (with Rag'n'Bone Man)","Calvin Harris","dance pop",2019
"242","All Around The World (La La La)","R3HAB","big room",2019
"243","Girls Like You (feat. Cardi B)","Maroon 5","pop",2019
"244","Call You Mine","The Chainsmokers","electropop",2019
"245","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake","electronic trap",2019
"246","Con Calma - Remix","Daddy Yankee","latin",2019
"247","Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran","pop",2019
